season,page,title,encoding
1974/75,tableso/oost75.html,,windows-1252
1975/76,tableso/oost76.html,,windows-1252
1976/77,tableso/oost77.html,,windows-1252
1977/78,tableso/oost78.html,,windows-1252
1978/79,tableso/oost79.html,,windows-1252
1979/80,tableso/oost80.html,,windows-1252
1980/81,tableso/oost81.html,,windows-1252
1981/82,tableso/oost82.html,,windows-1252
1982/83,tableso/oost83.html,,windows-1252
1983/84,tableso/oost84.html,,windows-1252
1984/85,tableso/oost85.html,,windows-1252
1985/86,tableso/oost86.html,,windows-1252
1986/87,tableso/oost87.html,,windows-1252
1987/88,tableso/oost88.html,,windows-1252
1988/89,tableso/oost89.html,,windows-1252
1989/90,tableso/oost90.html,,windows-1252
1990/91,tableso/oost91.html,,windows-1252
1991/92,tableso/oost92.html,,windows-1252
1992/93,tableso/oost93.html,,windows-1252
1993/94,tableso/oost94.html,,windows-1252
1994/95,tableso/oost95.html,,windows-1252
1995/96,tableso/oost96.html,,windows-1252
1996/97,tableso/oost97.html,,windows-1252
1997/98,tableso/oost98.html,,windows-1252
1998/99,tableso/oost99.html,,windows-1252
1999/00,tableso/oost00.html,,windows-1252
2000/01,tableso/oost01.html,,windows-1252
2001/02,tableso/oost02.html,,windows-1252
2002/03,tableso/oost03.html,,windows-1252
2003/04,tableso/oost04.html,,windows-1252
2004/05,tableso/oost05.html,,windows-1252
2005/06,tableso/oost06.html,,windows-1252
2006/07,tableso/oost07.html,,windows-1252
2007/08,tableso/oost08.html,,windows-1252
2008/09,tableso/oost09.html,,windows-1252
2009/10,tableso/oost2010.html,,windows-1252
2010/11,tableso/oost2011.html,,windows-1252
2011/12,tableso/oost2012.html,,windows-1252
2012/13,tableso/oost2013.html,,windows-1252
2013/14,tableso/oost2014.html,,windows-1252
2014/15,tableso/oost2015.html,,windows-1252
2015/16,tableso/oost2016.html,,windows-1252
2016/17,tableso/oost2017.html,,windows-1252
2017/18,tableso/oost2018.html,,windows-1252
2018/19,tableso/oost2019.html,,windows-1252
2019/20,tableso/oost2020.html,,windows-1252
2020/21,tableso/oost2021.html,,windows-1252
2021/22,tableso/oost2022.html,,windows-1252
2022/23,tableso/oost2023.html,,windows-1252
2023/24,tableso/oost2024.html,,windows-1252
2024/25,tableso/oost2025.html,,windows-1252
2025/26,tableso/oost2026.html,Austria,windows-1252
1979,tablesb/braz79.html,,Windows-1252
1980,tablesb/braz80.html,,Windows-1252
1981,tablesb/braz81.html,,Windows-1252
1982,tablesb/braz82.html,,Windows-1252
1983,tablesb/braz83.html,,Windows-1252
1984,tablesb/braz84.html,,Windows-1252
1985,tablesb/braz85.html,,Windows-1252
1986,tablesb/braz86.html,,Windows-1252
1987,tablesb/braz87.html,,Windows-1252
1988,tablesb/braz88.html,,Windows-1252
1989,tablesb/braz89.html,,Windows-1252
1990,tablesb/braz90.html,,Windows-1252
1991,tablesb/braz91.html,,Windows-1252
1992,tablesb/braz92.html,,Windows-1252
1993,tablesb/braz93.html,,Windows-1252
1994,tablesb/braz94.html,,Windows-1252
1995,tablesb/braz95.html,,Windows-1252
1996,tablesb/braz96.html,,Windows-1252
1997,tablesb/braz97.html,,Windows-1252
1998,tablesb/braz98.html,,Windows-1252
1999,tablesb/braz99.html,,Windows-1252
2000,tablesb/braz-joao00.html,,Windows-1252
2001,tablesb/braz01.html,,Windows-1252
2002,tablesb/braz02.html,,Windows-1252
2003,tablesb/braz03.html,,Windows-1252
2004,tablesb/braz04.html,,Windows-1252
2005,tablesb/braz05.html,,Windows-1252
2006,tablesb/braz06.html,,Windows-1252
2007,tablesb/braz07.html,,Windows-1252
2008,tablesb/braz08.html,,Windows-1252
2009,tablesb/braz09.html,,Windows-1252
2010,tablesb/braz2010.html,,Windows-1252
2011,tablesb/braz2011.html,,Windows-1252
2012,tablesb/braz2012.html,,Windows-1252
2013,tablesb/braz2013.html,,Windows-1252
2014,tablesb/braz2014.html,,Windows-1252
2015,tablesb/braz2015.html,,Windows-1252
2016,tablesb/braz2016.html,,Windows-1252
2017,tablesb/braz2017.html,,Windows-1252
2018,tablesb/braz2018.html,,Windows-1252
2019,tablesb/braz2019.html,,Windows-1252
2020,tablesb/braz2020.html,,Windows-1252
2021,tablesb/braz2021.html,,Windows-1252
2022,tablesb/braz2022.html,,Windows-1252
2023,tablesb/braz2023.html,,Windows-1252
2024,tablesb/braz2024.html,,Windows-1252
2025,tablesb/braz2025.html,Brazil,Windows-1252
1963/64,tablesd/duit64.html,,windows-1252
1964/65,tablesd/duit65.html,,windows-1252
1965/66,tablesd/duit66.html,,windows-1252
1966/67,tablesd/duit67.html,,windows-1252
1967/68,tablesd/duit68.html,,windows-1252
1968/69,tablesd/duit69.html,,windows-1252
1969/70,tablesd/duit70.html,,windows-1252
1970/71,tablesd/duit71.html,,windows-1252
1971/72,tablesd/duit72.html,,windows-1252
1972/73,tablesd/duit73.html,,windows-1252
1973/74,tablesd/duit74.html,,windows-1252
1974/75,tablesd/duit75.html,,windows-1252
1975/76,tablesd/duit76.html,,windows-1252
1976/77,tablesd/duit77.html,,windows-1252
1977/78,tablesd/duit78.html,,windows-1252
1978/79,tablesd/duit79.html,,windows-1252
1979/80,tablesd/duit80.html,,windows-1252
1980/81,tablesd/duit81.html,,windows-1252
1981/82,tablesd/duit82.html,,windows-1252
1982/83,tablesd/duit83.html,,windows-1252
1983/84,tablesd/duit84.html,,windows-1252
1984/85,tablesd/duit85.html,,windows-1252
1985/86,tablesd/duit86.html,,windows-1252
1986/87,tablesd/duit87.html,,windows-1252
1987/88,tablesd/duit88.html,,windows-1252
1988/89,tablesd/duit89.html,,windows-1252
1989/90,tablesd/duit90.html,,windows-1252
1990/91,tablesd/duit91.html,,windows-1252
1991/92,tablesd/duit92.html,,windows-1252
1992/93,tablesd/duit93.html,,windows-1252
1993/94,tablesd/duit94.html,,windows-1252
1994/95,tablesd/duit95.html,,windows-1252
1995/96,tablesd/duit96.html,,windows-1252
1996/97,tablesd/duit97.html,,windows-1252
1997/98,tablesd/duit98.html,,windows-1252
1998/99,tablesd/duit99.html,,windows-1252
1999/00,tablesd/duit00.html,,windows-1252
2000/01,tablesd/duit01.html,,windows-1252
2001/02,tablesd/duit02.html,,windows-1252
2002/03,tablesd/duit03.html,,windows-1252
2003/04,tablesd/duit04.html,,windows-1252
2004/05,tablesd/duit05.html,,windows-1252
2005/06,tablesd/duit06.html,,windows-1252
2006/07,tablesd/duit07.html,,windows-1252
2007/08,tablesd/duit08.html,,windows-1252
2008/09,tablesd/duit09.html,,windows-1252
2009/10,tablesd/duit2010.html,,windows-1252
2010/11,tablesd/duit2011.html,,windows-1252
2011/12,tablesd/duit2012.html,,windows-1252
2012/13,tablesd/duit2013.html,,windows-1252
2013/14,tablesd/duit2014.html,,windows-1252
2014/15,tablesd/duit2015.html,,windows-1252
2015/16,tablesd/duit2016.html,,windows-1252
2016/17,tablesd/duit2017.html,,windows-1252
2017/18,tablesd/duit2018.html,,windows-1252
2018/19,tablesd/duit2019.html,,windows-1252
2019/20,tablesd/duit2020.html,,windows-1252
2020/21,tablesd/duit2021.html,,windows-1252
2021/22,tablesd/duit2022.html,,windows-1252
2022/23,tablesd/duit2023.html,,windows-1252
2023/24,tablesd/duit2024.html,,windows-1252
2024/25,tablesd/duit2025.html,Germany,windows-1252
1992/93,tablese/eng93.html,,windows-1252
1993/94,tablese/eng94.html,,windows-1252
1994/95,tablese/eng95.html,,windows-1252
1995/96,tablese/eng96.html,,windows-1252
1996/97,tablese/eng97.html,,windows-1252
1997/98,tablese/eng98.html,,windows-1252
1998/99,tablese/eng99.html,,windows-1252
1999/00,tablese/eng00.html,,windows-1252
2000/01,tablese/eng01.html,,windows-1252
2001/02,tablese/eng02.html,,windows-1252
2002/03,tablese/eng03.html,,windows-1252
2003/04,tablese/eng04.html,,windows-1252
2004/05,tablese/eng05.html,,windows-1252
2005/06,tablese/eng06.html,,windows-1252
2006/07,tablese/eng07.html,,windows-1252
2007/08,tablese/eng08.html,,windows-1252
2008/09,tablese/eng09.html,,windows-1252
2009/10,tablese/eng2010.html,,windows-1252
2010/11,tablese/eng2011.html,,windows-1252
2011/12,tablese/eng2012.html,,windows-1252
2012/13,tablese/eng2013.html,,windows-1252
2013/14,tablese/eng2014.html,,windows-1252
2014/15,tablese/eng2015.html,,windows-1252
2015/16,tablese/eng2016.html,,windows-1252
2016/17,tablese/eng2017.html,,windows-1252
2017/18,tablese/eng2018.html,,windows-1252
2018/19,tablese/eng2019.html,,windows-1252
2019/20,tablese/eng2020.html,,windows-1252
2020/21,tablese/eng2021.html,,windows-1252
2021/22,tablese/eng2022.html,,windows-1252
2022/23,tablese/eng2023.html,,windows-1252
2023/24,tablese/eng2024.html,,windows-1252
2024/25,tablese/eng2025.html,England,windows-1252
2010/11,tabless/span2011.html,,windows-1252
2011/12,tabless/span2012.html,,windows-1252
