page,title,updated,pre_count,h_count,hr_count,aname_count
tableso/oost75.html,Austria 1974/75,2005-07-12,1,-/2/-/-/-/-,1,1
tableso/oost76.html,Austria 1975/76,2005-07-12,1,-/2/-/-/-/-,1,1
tableso/oost77.html,Austria 1976/77,2004-10-10,1,-/2/-/-/-/-,1,1
tableso/oost78.html,Austria 1977/78,2009-04-23,1,-/2/-/-/-/-,1,1
tableso/oost79.html,Austria 1978/79,2005-03-26,1,-/2/-/-/-/-,1,1
tableso/oost80.html,Austria 1979/80,2004-10-10,1,-/2/-/-/-/-,1,1
tableso/oost81.html,Austria 1980/81,2004-10-10,1,-/2/-/-/-/-,1,1
tableso/oost82.html,Austria 1981/82,2004-10-10,1,-/2/-/-/-/-,1,1
tableso/oost83.html,Austria 1982/83,2004-10-10,1,-/2/-/-/-/-,1,1
tableso/oost84.html,Austria 1983/84,2003-11-14,1,-/2/-/-/-/-,1,1
tableso/oost85.html,Austria 1984/85,2003-11-14,1,-/2/-/-/-/-,1,1
tableso/oost86.html,Austria 1985/86,2003-08-31,1,-/2/-/-/-/-,1,1
tableso/oost87.html,Austria 1986/87,2003-08-31,1,-/2/-/-/-/-,1,1
tableso/oost88.html,Austria 1987/88,2003-08-31,1,-/2/-/-/-/-,1,1
tableso/oost89.html,Austria 1988/89,2003-07-06,1,-/2/-/-/-/-,1,1
tableso/oost90.html,Austria 1989/90,2003-07-05,1,-/2/-/-/-/-,1,1
tableso/oost91.html,Austria 1990/91,2003-05-18,1,-/2/-/-/-/-,1,1
tableso/oost92.html,Austria 1991/92,2003-04-16,1,-/2/-/-/-/-,1,1
tableso/oost93.html,Austria 1992/93,2004-10-31,1,-/2/-/-/-/-,1,1
tableso/oost94.html,Austria 1993/94,2004-10-31,1,-/2/-/-/-/-,1,1
tableso/oost95.html,Austria 1994/95,2004-10-31,1,-/2/-/-/-/-,1,2
tableso/oost96.html,Austria 1995/96,2004-10-31,1,-/2/-/-/-/-,1,2
tableso/oost97.html,Austria 1996/97,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost98.html,Austria 1997/98,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost99.html,Austria 1998/99,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost00.html,Austria 1999/2000,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost01.html,Austria 2000/01,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost02.html,Austria 2001/02,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost03.html,Austria 2002/03,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost04.html,Austria 2003/04,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost05.html,Austria 2004/05,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost06.html,Austria 2005/06,2022-06-15,1,-/2/-/-/-/-,2,2
tableso/oost07.html,Austria 2006/07,2022-06-15,1,-/2/-/-/-/-,2,2
tableso/oost08.html,Austria 2007/08,2022-06-15,1,-/2/-/-/-/-,2,3
tableso/oost09.html,Austria 2008/09,2022-07-15,1,-/2/-/-/-/-,2,3
tableso/oost2010.html,Austria 2009/10,2023-03-07,7,-/2/-/7/-/-,10,11
tableso/oost2011.html,Austria 2010/11,2023-03-07,6,-/2/-/6/-/-,9,7
tableso/oost2012.html,Austria 2011/12,2023-03-07,6,-/2/-/6/-/-,9,7
tableso/oost2013.html,Austria 2012/13,2023-03-07,5,-/2/-/5/-/-,8,7
tableso/oost2014.html,Austria 2013/14,2023-03-07,6,-/2/-/6/-/-,9,11
tableso/oost2015.html,Austria 2014/15,2023-03-07,6,-/2/-/6/-/-,9,11
tableso/oost2016.html,Austria 2015/16,2023-03-07,6,-/2/-/6/-/-,9,11
tableso/oost2017.html,Austria 2016/17,2023-03-07,6,-/2/-/6/-/-,9,11
tableso/oost2018.html,Austria 2017/18,2023-03-07,6,-/2/-/6/-/-,9,11
tableso/oost2019.html,Austria 2018/19,2023-03-07,6,-/2/-/6/-/-,9,15
tableso/oost2020.html,Austria 2019/20,2023-03-07,5,-/2/-/5/-/-,8,11
tableso/oost2021.html,Austria 2020/21,2023-03-07,4,-/2/-/4/-/-,7,11
tableso/oost2022.html,Austria 2021/22,2023-04-05,6,-/2/-/6/-/-,9,15
tableso/oost2023.html,Austria 2022/23,2024-06-14,5,-/2/-/5/-/-,8,23
tableso/oost2024.html,Austria 2023/24,2025-06-10,5,-/2/-/5/-/-,8,23
tableso/oost2025.html,Austria 2024/25,2025-07-07,5,-/2/-/5/-/-,8,23
tableso/oost2026.html,Austria 2025/26,2026-03-24,2,-/2/-/2/-/-,5,7
