page,title,updated,pre_count,h_count,hr_count,aname_count
tablesb/braz79.html,V COPA BRASIL - 1979 [Brazilian Championship],2005-04-02,1,-/2/-/-/-/-,1,1
tablesb/braz80.html,VI Copa Brasil - 1980 [Brazilian Championship],2000-01-04,3,-/2/-/-/-/-,3,1
tablesb/braz81.html,Brazil 1981,2005-04-03,1,-/2/-/-/-/-,1,1
tablesb/braz82.html,Brazil 1982,2000-01-18,1,-/2/-/-/-/-,1,1
tablesb/braz83.html,Brazil 1983 (Taça de Ouro and Taça de Prata),2000-05-07,1,-/2/-/-/-/-,1,1
tablesb/braz84.html,Brazil 1984 (Taça de Ouro and Taça de Prata),2005-04-02,1,-/2/-/-/-/-,1,1
tablesb/braz85.html,Brazil 1985 (Taça de Ouro and Taça de Prata),2005-04-02,1,-/2/-/-/-/-,1,1
tablesb/braz86.html,Brazil 1986,2005-04-02,1,-/2/-/-/-/-,1,1
tablesb/braz87.html,Brazil 1987,2005-04-02,1,-/2/-/-/-/-,1,1
tablesb/braz88.html,Brazil 1988,2005-04-02,3,-/2/-/-/-/-,1,1
tablesb/braz89.html,Brazil 1989,2005-04-02,1,-/2/-/-/-/-,1,0
tablesb/braz90.html,Brazil 1990,2000-02-18,1,-/2/-/-/-/-,1,1
tablesb/braz91.html,Brazil 1991,2005-04-02,2,-/2/-/-/-/-,1,0
tablesb/braz92.html,Brazil 1992,2000-02-18,1,-/2/-/-/-/-,1,1
tablesb/braz93.html,n/a,n/a,1,-/-/-/-/-/-,0,0
tablesb/braz94.html,Brazilian Championship 1994,1999-07-27,1,-/2/-/-/-/-,1,1
tablesb/braz95.html,Brazil 1995,2005-04-02,1,-/2/-/-/-/-,1,0
tablesb/braz96.html,Brazil 1996,2000-02-18,1,-/2/-/-/-/-,1,1
tablesb/braz97.html,Brazil 1997,2000-02-18,1,-/2/-/-/-/-,1,1
tablesb/braz98.html,n/a,1999-04-22,1,-/-/-/-/-/-,0,0
tablesb/braz99.html,Brazil 1999 Championship,2000-07-31,1,-/2/-/-/-/-,1,1
tablesb/braz-joao00.html,Brazil 2000 - Copa João Havelange,2001-08-15,1,-/2/-/-/-/-,1,1
tablesb/braz01.html,Brazil 2001,2002-08-15,1,-/2/-/-/-/-,1,0
tablesb/braz02.html,Brazil 2002,2003-04-19,1,-/2/-/-/-/-,1,1
tablesb/braz03.html,Brazil 2003,2004-04-25,1,-/2/-/-/-/-,1,1
tablesb/braz04.html,Brazil 2004,2005-05-04,1,-/2/-/-/-/-,1,1
tablesb/braz05.html,Brazil 2005,2006-04-29,1,-/2/-/-/-/-,1,1
tablesb/braz06.html,Brazil 2006,2007-05-29,1,-/2/-/-/-/-,1,1
tablesb/braz07.html,Brazil 2007,2008-05-16,1,-/2/-/-/-/-,1,1
tablesb/braz08.html,Brazil 2008,2009-05-21,1,-/2/-/-/-/-,1,1
tablesb/braz09.html,Brazil 2009,2012-12-13,1,-/2/-/-/-/-,2,1
tablesb/braz2010.html,Brazil 2010,2024-03-25,5,-/2/-/5/-/-,8,6
tablesb/braz2011.html,Brazil 2011,2024-02-20,5,-/2/-/5/-/-,8,6
tablesb/braz2012.html,Brazil 2012,2013-06-07,3,-/2/-/3/-/-,6,4
tablesb/braz2013.html,Brazil 2013,2014-05-15,2,-/2/-/2/-/-,5,3
tablesb/braz2014.html,Brazil 2014,2015-05-13,2,-/2/-/2/-/-,5,3
tablesb/braz2015.html,Brazil 2015,2021-12-29,3,-/2/-/3/-/-,6,4
tablesb/braz2016.html,Brazil 2016,2025-12-08,3,-/2/-/3/-/-,6,4
tablesb/braz2017.html,Brazil 2017,2025-12-08,3,-/2/-/3/-/-,6,4
tablesb/braz2018.html,Brazil 2018,2025-12-08,3,-/2/-/3/-/-,6,4
tablesb/braz2019.html,Brazil 2019,2025-12-08,4,-/2/-/4/-/-,7,5
tablesb/braz2020.html,Brazil 2020/21,2025-12-08,5,-/2/-/5/-/-,8,6
tablesb/braz2021.html,Brazil 2021,2025-12-08,5,-/2/-/5/-/-,8,6
tablesb/braz2022.html,Brazil 2022,2025-12-08,4,-/2/-/4/-/-,7,5
tablesb/braz2023.html,Brazil 2023,2025-12-08,4,-/2/-/4/-/-,7,5
tablesb/braz2024.html,Brazil 2024,2025-12-08,4,-/2/-/4/-/-,7,5
