season,page,encoding
1979,tablesb/braz79.html,Windows-1252
1980,tablesb/braz80.html,Windows-1252
1981,tablesb/braz81.html,Windows-1252
1982,tablesb/braz82.html,Windows-1252
1983,tablesb/braz83.html,Windows-1252
1984,tablesb/braz84.html,Windows-1252
1985,tablesb/braz85.html,Windows-1252
1986,tablesb/braz86.html,Windows-1252
1987,tablesb/braz87.html,Windows-1252
1988,tablesb/braz88.html,Windows-1252
1989,tablesb/braz89.html,Windows-1252
1990,tablesb/braz90.html,Windows-1252
1991,tablesb/braz91.html,Windows-1252
1992,tablesb/braz92.html,Windows-1252
1993,tablesb/braz93.html,Windows-1252
1994,tablesb/braz94.html,Windows-1252
1995,tablesb/braz95.html,Windows-1252
1996,tablesb/braz96.html,Windows-1252
1997,tablesb/braz97.html,Windows-1252
1998,tablesb/braz98.html,Windows-1252
1999,tablesb/braz99.html,Windows-1252
2000,tablesb/braz-joao00.html,Windows-1252
2001,tablesb/braz01.html,Windows-1252
2002,tablesb/braz02.html,Windows-1252
2003,tablesb/braz03.html,Windows-1252
2004,tablesb/braz04.html,Windows-1252
2005,tablesb/braz05.html,Windows-1252
2006,tablesb/braz06.html,Windows-1252
2007,tablesb/braz07.html,Windows-1252
2008,tablesb/braz08.html,Windows-1252
2009,tablesb/braz09.html,Windows-1252
2010,tablesb/braz2010.html,Windows-1252
2011,tablesb/braz2011.html,Windows-1252
2012,tablesb/braz2012.html,Windows-1252
2013,tablesb/braz2013.html,Windows-1252
2014,tablesb/braz2014.html,Windows-1252
2015,tablesb/braz2015.html,Windows-1252
2016,tablesb/braz2016.html,Windows-1252
2017,tablesb/braz2017.html,Windows-1252
2018,tablesb/braz2018.html,Windows-1252
2019,tablesb/braz2019.html,Windows-1252
2020,tablesb/braz2020.html,Windows-1252
2021,tablesb/braz2021.html,Windows-1252
2022,tablesb/braz2022.html,Windows-1252
2023,tablesb/braz2023.html,Windows-1252
2024,tablesb/braz2024.html,Windows-1252
