page,title,updated,pre_count,h_count,hr_count,aname_count
tablesd/duit64.html,Germany 1963/64,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit65.html,Germany 1964/65,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit66.html,Germany 1965/66,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit67.html,Germany 1966/67,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit68.html,Germany 1967/68,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit69.html,Germany 1968/69,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit70.html,Germany 1969/70,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit71.html,Germany 1970/71,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit72.html,Germany 1971/72,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit73.html,Germany 1972/73,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit74.html,Germany 1973/74,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit75.html,Germany 1974/75,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit76.html,Germany 1975/76,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit77.html,Germany 1976/77,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit78.html,Germany 1977/78,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit79.html,Germany 1978/79,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit80.html,Germany 1979/80,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit81.html,Germany 1980/81,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit82.html,Germany 1981/82,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit83.html,Germany 1982/83,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit84.html,Germany 1983/84,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit85.html,Germany 1984/85,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit86.html,Germany 1985/86,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit87.html,Germany 1986/87,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit88.html,Germany 1987/88,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit89.html,Germany 1988/89,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit90.html,Germany 1989/90,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit91.html,Germany 1990/91,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit92.html,Germany 1991/92,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit93.html,Germany 1992/93,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit94.html,Germany 1993/94,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit95.html,Germany 1994/95,2014-05-15,1,-/2/-/-/-/-,1,1
tablesd/duit96.html,Germany 1995/96,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit97.html,Germany 1996/97,2005-05-11,1,-/2/-/-/-/-,1,1
tablesd/duit98.html,Germany 1997/98,2005-06-07,1,-/2/-/-/-/-,1,1
tablesd/duit99.html,Germany 1998/99,2001-04-01,1,-/2/-/-/-/-,1,1
tablesd/duit00.html,Germany 1999/2000,2002-02-21,1,-/2/-/-/-/-,1,1
tablesd/duit01.html,Germany 2000/01,2002-02-21,1,-/2/-/-/-/-,1,1
tablesd/duit02.html,Germany 2001/02,2005-06-01,1,-/2/-/-/-/-,1,1
tablesd/duit03.html,Germany 2002/03,2005-06-01,1,-/2/-/-/-/-,1,1
tablesd/duit04.html,Germany 2003/04,2004-08-08,1,-/2/-/-/-/-,1,1
tablesd/duit05.html,Germany 2004/05,2005-08-17,1,-/2/-/-/-/-,1,1
tablesd/duit06.html,Germany 2005/06,2006-10-04,1,-/2/-/-/-/-,1,1
tablesd/duit07.html,Germany 2006/07,2008-05-08,1,-/2/-/-/-/-,1,1
tablesd/duit08.html,Germany 2007/08,2008-11-07,1,-/2/-/-/-/-,1,1
tablesd/duit09.html,Germany 2008/09,2018-08-02,1,-/2/-/-/-/-,1,1
tablesd/duit2010.html,Germany 2009/10,2018-08-02,4,-/2/-/4/-/-,7,7
tablesd/duit2011.html,Germany 2010/11,2024-03-25,4,-/2/-/4/-/-,7,7
tablesd/duit2012.html,Germany 2011/12,2021-09-23,4,-/2/-/4/-/-,7,7
tablesd/duit2013.html,Germany 2012/13,2018-08-02,4,-/2/-/4/-/-,7,8
tablesd/duit2014.html,Germany 2013/14,2018-08-02,4,-/2/-/4/-/-,7,8
tablesd/duit2015.html,Germany 2014/15,2021-01-14,4,-/2/-/4/-/-,7,8
tablesd/duit2016.html,Germany 2015/16,2019-05-09,4,-/2/-/4/-/-,7,8
tablesd/duit2017.html,Germany 2016/17,2021-01-07,4,-/2/-/4/-/-,7,8
tablesd/duit2018.html,Germany 2017/18,2019-05-09,4,-/2/-/4/-/-,7,8
tablesd/duit2019.html,Germany 2018/19,2021-01-14,4,-/2/-/4/-/-,7,8
tablesd/duit2020.html,Germany 2019/20,2020-10-08,4,-/2/-/4/-/-,7,8
tablesd/duit2021.html,Germany 2020/21,2022-02-03,4,-/2/-/4/-/-,7,8
tablesd/duit2022.html,Germany 2021/22,2022-09-25,3,-/2/-/3/-/-,6,7
tablesd/duit2023.html,Germany 2022/23,2023-11-21,3,-/2/-/3/-/-,6,7
tablesd/duit2024.html,Germany 2023/24,2024-10-11,3,-/2/-/3/-/-,6,7
tablesd/duit2025.html,Germany 2024/25,2025-05-26,1,-/2/-/1/-/-,4,2
