season,page,encoding
1963/64,tablesd/duit64.html,windows-1252
1964/65,tablesd/duit65.html,windows-1252
1965/66,tablesd/duit66.html,windows-1252
1966/67,tablesd/duit67.html,windows-1252
1967/68,tablesd/duit68.html,windows-1252
1968/69,tablesd/duit69.html,windows-1252
1969/70,tablesd/duit70.html,windows-1252
1970/71,tablesd/duit71.html,windows-1252
1971/72,tablesd/duit72.html,windows-1252
1972/73,tablesd/duit73.html,windows-1252
1973/74,tablesd/duit74.html,windows-1252
1974/75,tablesd/duit75.html,windows-1252
1975/76,tablesd/duit76.html,windows-1252
1976/77,tablesd/duit77.html,windows-1252
1977/78,tablesd/duit78.html,windows-1252
1978/79,tablesd/duit79.html,windows-1252
1979/80,tablesd/duit80.html,windows-1252
1980/81,tablesd/duit81.html,windows-1252
1981/82,tablesd/duit82.html,windows-1252
1982/83,tablesd/duit83.html,windows-1252
1983/84,tablesd/duit84.html,windows-1252
1984/85,tablesd/duit85.html,windows-1252
1985/86,tablesd/duit86.html,windows-1252
1986/87,tablesd/duit87.html,windows-1252
1987/88,tablesd/duit88.html,windows-1252
1988/89,tablesd/duit89.html,windows-1252
1989/90,tablesd/duit90.html,windows-1252
1990/91,tablesd/duit91.html,windows-1252
1991/92,tablesd/duit92.html,windows-1252
1992/93,tablesd/duit93.html,windows-1252
1993/94,tablesd/duit94.html,windows-1252
1994/95,tablesd/duit95.html,windows-1252
1995/96,tablesd/duit96.html,windows-1252
1996/97,tablesd/duit97.html,windows-1252
1997/98,tablesd/duit98.html,windows-1252
1998/99,tablesd/duit99.html,windows-1252
1999/00,tablesd/duit00.html,windows-1252
2000/01,tablesd/duit01.html,windows-1252
2001/02,tablesd/duit02.html,windows-1252
2002/03,tablesd/duit03.html,windows-1252
2003/04,tablesd/duit04.html,windows-1252
2004/05,tablesd/duit05.html,windows-1252
2005/06,tablesd/duit06.html,windows-1252
2006/07,tablesd/duit07.html,windows-1252
2007/08,tablesd/duit08.html,windows-1252
2008/09,tablesd/duit09.html,windows-1252
2009/10,tablesd/duit2010.html,windows-1252
2010/11,tablesd/duit2011.html,windows-1252
2011/12,tablesd/duit2012.html,windows-1252
2012/13,tablesd/duit2013.html,windows-1252
2013/14,tablesd/duit2014.html,windows-1252
2014/15,tablesd/duit2015.html,windows-1252
2015/16,tablesd/duit2016.html,windows-1252
2016/17,tablesd/duit2017.html,windows-1252
2017/18,tablesd/duit2018.html,windows-1252
2018/19,tablesd/duit2019.html,windows-1252
2019/20,tablesd/duit2020.html,windows-1252
2020/21,tablesd/duit2021.html,windows-1252
2021/22,tablesd/duit2022.html,windows-1252
2022/23,tablesd/duit2023.html,windows-1252
2023/24,tablesd/duit2024.html,windows-1252
2024/25,tablesd/duit2025.html,windows-1252
