season,page,encoding
1992/93,tablese/eng93.html,windows-1252
1993/94,tablese/eng94.html,windows-1252
1994/95,tablese/eng95.html,windows-1252
1995/96,tablese/eng96.html,windows-1252
1996/97,tablese/eng97.html,windows-1252
1997/98,tablese/eng98.html,windows-1252
1998/99,tablese/eng99.html,windows-1252
1999/00,tablese/eng00.html,windows-1252
2000/01,tablese/eng01.html,windows-1252
2001/02,tablese/eng02.html,windows-1252
2002/03,tablese/eng03.html,windows-1252
2003/04,tablese/eng04.html,windows-1252
2004/05,tablese/eng05.html,windows-1252
2005/06,tablese/eng06.html,windows-1252
2006/07,tablese/eng07.html,windows-1252
2007/08,tablese/eng08.html,windows-1252
2008/09,tablese/eng09.html,windows-1252
2009/10,tablese/eng2010.html,windows-1252
2010/11,tablese/eng2011.html,windows-1252
2011/12,tablese/eng2012.html,windows-1252
2012/13,tablese/eng2013.html,windows-1252
2013/14,tablese/eng2014.html,windows-1252
2014/15,tablese/eng2015.html,windows-1252
2015/16,tablese/eng2016.html,windows-1252
2016/17,tablese/eng2017.html,windows-1252
2017/18,tablese/eng2018.html,windows-1252
2018/19,tablese/eng2019.html,windows-1252
2019/20,tablese/eng2020.html,windows-1252
2020/21,tablese/eng2021.html,windows-1252
2021/22,tablese/eng2022.html,windows-1252
2022/23,tablese/eng2023.html,windows-1252
2023/24,tablese/eng2024.html,windows-1252
2024/25,tablese/eng2025.html,windows-1252
