page,title,updated,pre_count,h_count,hr_count,aname_count
tabless/span2011.html,Spain 2010/11,2024-03-25,4,-/2/-/4/-/-,7,10
tabless/span2012.html,Spain 2011/12,2021-01-28,3,-/2/-/3/-/-,6,5
tabless/span2013.html,Spain 2012/13,2018-09-13,3,-/2/-/3/-/-,6,5
tabless/span2014.html,Spain 2013/14,2020-09-29,3,-/2/-/3/-/-,6,5
tabless/span2015.html,Spain 2014/15,2021-01-28,3,-/2/-/3/-/-,6,5
tabless/span2016.html,Spain 2015/16,2019-07-18,3,-/2/-/3/-/-,6,5
tabless/span2017.html,Spain 2016/17,2019-07-18,3,-/2/-/3/-/-,6,5
tabless/span2018.html,Spain 2017/18,2020-09-29,3,-/2/-/3/-/-,6,5
tabless/span2019.html,Spain 2018/19,2021-01-28,3,-/2/-/3/-/-,6,5
tabless/span2020.html,Spain 2019/20,2021-04-08,3,-/2/-/3/-/-,6,5
tabless/span2021.html,Spain 2020/21,2022-06-09,3,-/2/-/3/-/-,6,5
tabless/span2022.html,Spain 2021/22,2023-06-28,3,-/2/-/3/-/-,6,9
tabless/span2023.html,Spain 2022/23,2023-11-21,3,-/2/-/3/-/-,6,9
tabless/span2024.html,Spain 2023/24,2024-10-11,3,-/2/-/3/-/-,6,9
tabless/span2025.html,Spain 2024/25,2025-05-26,1,-/2/-/1/-/-,4,2
