season,page,encoding
2010/11,tabless/span2011.html,windows-1252
2011/12,tabless/span2012.html,windows-1252
2012/13,tabless/span2013.html,windows-1252
2013/14,tabless/span2014.html,windows-1252
2014/15,tabless/span2015.html,windows-1252
2015/16,tabless/span2016.html,windows-1252
2016/17,tabless/span2017.html,windows-1252
2017/18,tabless/span2018.html,windows-1252
2018/19,tabless/span2019.html,windows-1252
2019/20,tabless/span2020.html,windows-1252
2020/21,tabless/span2021.html,windows-1252
2021/22,tabless/span2022.html,windows-1252
2022/23,tabless/span2023.html,windows-1252
2023/24,tabless/span2024.html,windows-1252
2024/25,tabless/span2025.html,windows-1252
