page,title,updated,pre_count,h_count,hr_count,aname_count
tablesi/ital00.html,Italy 1999/2000,2011-12-12,1,-/2/-/-/-/-,3,1
tablesi/ital01.html,Italy 2000/01,2005-09-01,1,-/2/-/-/-/-,1,1
tablesi/ital02.html,Italy 2001/02,2003-01-11,1,-/2/-/-/-/-,1,1
tablesi/ital03.html,Italy 2002/03,2003-08-31,1,-/2/-/-/-/-,1,1
tablesi/ital04.html,Italy 2003/04,2005-08-19,1,-/2/-/-/-/-,1,1
tablesi/ital05.html,Italy 2004/05,2006-07-26,1,-/2/-/-/-/-,1,1
tablesi/ital06.html,Italy 2005/06,2006-10-06,1,-/2/-/-/-/-,1,1
tablesi/ital07.html,Italy 2006/07,2007-09-07,1,-/2/-/-/-/-,1,1
tablesi/ital08.html,Italy 2007/08,2009-08-12,1,-/2/-/-/-/-,1,1
tablesi/ital09.html,Italy 2008/09,2009-08-12,1,-/2/-/-/-/-,1,1
tablesi/ital2010.html,Italy 2009/10,2013-02-07,7,-/2/-/7/-/-,10,34
tablesi/ital2011.html,Italy 2010/11,2024-01-18,6,-/2/-/6/-/-,9,24
tablesi/ital2012.html,Italy 2011/12,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2013.html,Italy 2012/13,2021-01-14,3,-/2/-/3/-/-,6,6
tablesi/ital2014.html,Italy 2013/14,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2015.html,Italy 2014/15,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2016.html,Italy 2015/16,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2017.html,Italy 2016/17,2017-08-31,3,-/2/-/3/-/-,6,6
tablesi/ital2018.html,Italy 2017/18,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2019.html,Italy 2018/19,2021-01-14,3,-/2/-/3/-/-,6,7
tablesi/ital2020.html,Italy 2019/20,2020-10-08,3,-/2/-/3/-/-,6,7
tablesi/ital2021.html,Italy 2020/21,2022-06-09,3,-/2/-/3/-/-,6,6
tablesi/ital2022.html,Italy 2021/22,2022-09-25,3,-/2/-/3/-/-,6,7
tablesi/ital2023.html,Italy 2022/23,2024-07-06,3,-/2/-/3/-/-,6,8
tablesi/ital2024.html,Italy 2023/24,2024-10-11,3,-/2/-/3/-/-,6,7
tablesi/ital2025.html,Italy 2024/25,2025-06-10,2,-/2/-/2/-/-,5,3
