page,title,updated,pre_count,h_count,hr_count,aname_count
tables/30f.html,World Cup 1930,2025-06-25,1,-/2/-/-/-/-,1,2
tables/34f.html,World Cup 1934,2002-06-20,1,-/2/-/-/-/-,1,1
tables/38f.html,World Cup 1938,2026-03-06,1,-/2/-/-/-/-,1,1
tables/50f.html,World Cup 1950,2017-07-05,1,-/2/-/-/-/-,1,1
tables/54f.html,World Cup 1954,1999-10-22,1,-/2/-/-/-/-,1,1
tables/58f.html,World Cup 1958,1999-10-22,1,-/2/-/-/-/-,1,1
tables/62f.html,World Cup 1962,1999-10-22,1,-/2/-/-/-/-,1,1
tables/66f.html,World Cup 1966,1999-10-22,1,-/2/-/-/-/-,1,1
tables/70f.html,World Cup 1970,1999-10-22,1,-/2/-/-/-/-,1,1
tables/74f.html,World Cup 1974,1999-10-22,1,-/2/-/-/-/-,1,1
tables/78f.html,World Cup 1978,1999-10-22,1,-/2/-/-/-/-,1,1
tables/82f.html,World Cup 1982,2018-07-05,1,-/2/-/-/-/-,1,1
tables/86f.html,World Cup 1986,2018-07-05,1,-/2/-/-/-/-,1,1
tables/90f.html,World Cup 1990,2018-07-05,1,-/2/-/-/-/-,1,1
tables/94f.html,World Cup 1994,2018-07-05,1,-/2/-/-/-/-,1,1
tables/98f.html,World Cup 1998,2018-07-05,1,-/2/-/-/-/-,1,1
tables/2002f.html,World Cup 2002,2018-07-05,1,-/2/-/-/-/-,1,1
tables/2006f.html,World Cup 2006,2018-07-05,1,-/2/-/-/-/-,1,1
tables/2010f.html,World Cup 2010,2024-06-20,1,-/2/-/-/-/-,1,1
tables/2014f.html,World Cup 2014,2022-12-20,1,-/2/-/-/-/-,1,1
tables/2018f.html,World Cup 2018,2022-12-20,1,-/2/-/-/-/-,1,1
tables/2022f.html,World Cup 2022,2022-12-20,1,-/2/-/-/-/-,1,1
