page,title,updated,pre_count,h_count,hr_count,aname_count
tables/30full.html,World Cup 1930 finals,n/a,1,1/10/-/-/-/-,12,11
tables/34full.html,World Cup 1934 finals,n/a,1,1/8/-/-/-/-,11,8
tables/38full.html,World Cup 1938 finals,n/a,1,1/8/-/-/-/-,11,9
tables/50full.html,World Cup 1950 finals,n/a,1,1/8/-/-/-/-,17,8
tables/54full.html,World Cup 1954 finals,n/a,1,1/11/-/-/-/-,19,11
tables/58full.html,World Cup 1958 finals,n/a,1,1/11/-/-/-/-,23,11
tables/62full.html,World Cup 1962 finals,n/a,1,1/11/-/-/-/-,23,11
tables/66full.html,World Cup 1966 finals,n/a,1,1/11/-/-/-/-,24,11
tables/70full.html,World Cup 1970 finals,n/a,1,1/11/-/-/-/-,23,11
tables/74full.html,World Cup 1974 finals,n/a,1,2/11/-/-/-/-,30,11
tables/78full.html,World Cup 1978 finals,n/a,1,1/11/-/-/-/-,30,11
tables/82full.html,World Cup 1982 finals,n/a,1,2/15/-/-/-/-,39,15
tables/86full.html,World Cup 1986 finals,n/a,1,1/14/-/-/-/-,41,14
tables/90full.html,World Cup 1990 finals,n/a,1,1/15/-/-/-/-,42,39
tables/94full.html,World Cup 1994 finals,n/a,1,1/15/-/-/-/-,40,39
tables/98full.html,World Cup 1998 finals,n/a,1,1/18/-/-/-/-,48,49
tables/2002full.html,World Cup 2002 - Match Details,2008-07-03,16,-/5/-/13/-/-,17,49
tables/2006full.html,World Cup 2006 - Match Details,2007-02-07,17,-/6/-/13/-/-,19,18
tables/2010full.html,World Cup 2010 - Match Details,2024-06-21,2,-/4/-/-/-/-,3,2
tables/2014full.html,World Cup 2014 - Match Details,2014-07-24,2,-/3/-/-/-/-,3,2
